Feature,MeanSHAP
12.11_876.80,0.00863301161349666
6.328_209.0663,-0.006439437743479079
TG 64:17|TG 20:5_22:6_22:6,0.006187173833797171
10.06_860.77,0.005944161518534588
10.85_694.65,0.00591728474822667
4.87_822.60,-0.005641820233233621
0.38_219.00,-0.005551163841980582
10.05_916.83,-0.005458185255829415
10.36_925.81,0.004943251591766101
10.47_918.85,0.004679922116783559
9.42_912.71,-0.004600708245093154
9.34_906.75,0.004557661067412471
10.88_1267.20,0.00452687983114562
5.45_605.55,-0.0044058983263757946
10.48_386.38,-0.004352457075462128
11.06_946.88,0.004196128416931987
9.30_989.70,0.004143422106578842
11.59_939.82,0.004071718904456263
9.41_933.77,-0.004063830967286378
10.90_876.80,0.004031039486867445
10.88_161.13,0.004007450097169541
5.062_239.1445,-0.003974200524099087
9.53_712.60,-0.003941356910029873
3.363_315.1248,0.003884707866012674
DG 34:1,-0.003862079891904631
0.896_309.0165,0.003855356790775002
10.95_954.85,0.003841961043755756
10.96_950.77,-0.0038054015709358658
6.328_201.0343,0.0037773128158724075
10.03_820.74,0.0037748534685127125
10.71_906.76,0.0037734990650840346
1.821_207.087,-0.003755452264163248
6.86_866.66,0.0037223858652372013
10.46_863.79,0.003721217251369952
10.36_1000.83,-0.0036788763904814213
8.92_973.72,0.0036710815942759068
10.37_1358.17,-0.0036078153548545753
11.23_951.78,0.003605209042438412
10.97_957.86,-0.0035911611623653593
5.51_731.61,0.0035815052436898964
9.04_1015.70,0.003578182978422696
2[4-(Trifluoromethoxy)phenyl]cyclopropanecarboxylic acid,0.0035493937679268923
10.86_898.74,-0.0035433544881787703
1.82_60.0159,0.003514685383676907
10.20_1006.88,-0.0034895854626600664
(4-Methylphenyl)oxidanesulfonic acid,-0.003473444443370386
127277,-0.0034729745838391938
10.89_666.62,0.0034707938378095568
9.56_889.67,-0.0034531541389766075
11.88_876.80,-0.003445671802216476
10.89_1298.17,0.003443546347263825
9.52_992.72,0.003437439240294874
PI 36:4|PI 16:0_20:4_a,-0.0034179540081677373
1.40_580.36,0.003414738174940697
10.23_995.88,-0.0034146634587655872
10.24_970.73,0.0034141077234198284
9.99_923.79,-0.003392735730711358
11.25_926.77,-0.003374757973239748
1.82_103.3279,0.003359875676785411
5.761_89.0231,0.0033440108188286946
6.01_770.57,-0.003314779120237037
9.63_915.68,-0.0033039352513935054
TG 53:3|TG 17:0_17:1_19:2,0.0032738638762007384
