Feature,MeanSHAP
9.82_960.80,0.007416076731049229
TG 50:3|TG 16:0_16:1_18:2,0.006514417580813803
10.36_926.81,0.006389528736922274
9.08_1006.79,0.005758039709549967
10.87_243.21,0.005689558143701254
9.73_916.69,-0.005670494965586561
10.35_945.73,0.00563824333391885
10.36_982.88,0.005570568536404381
10.86_880.81,0.0055061561590218295
10.44_1502.31,0.005301423665326244
10.87_603.53,-0.004986987159443334
11.06_960.90,0.004836641189357179
3-Hydroxybutyric acid,-0.0047425514225397725
10.35_930.76,-0.004601132024281005
10.41_1337.13,0.004536848707406887
10.28_930.85,-0.004524590818717394
11.23_631.57,0.004343274155763327
9.28_1000.74,0.004290968284196388
10.35_940.83,0.004267430438076692
10.68_863.79,-0.004163270895096331
10.36_904.74,0.004156712533202334
12.11_876.80,0.004120568380701061
10.22_944.72,0.0040913116039272435
10.30_1000.83,-0.004019992103171994
10.24_977.83,0.003993387960990599
9.64_865.67,0.003992177890282392
10.83_939.71,0.003967288170784167
1.82_102.7509,0.003966548604484906
10.26_992.86,0.003930266708738471
10.72_971.89,0.003894574357536149
11.24_976.92,0.0038778749446225194
9.36_989.84,0.0037508461926624554
4.55_768.55,-0.003735708268419735
TG 61:13|TG 18:2_21:5_22:6,-0.003715414690064493
10.02_996.80,0.003711682637096709
TG 58:5|TG 22:1_18:2_18:2,-0.003700281405623539
12.34_1025.96,0.0036654720587495603
9.44_923.71,-0.0036354056782848315
9.28_1015.72,-0.0036292803419648743
10.35_1009.90,-0.0035744916490334368
4.08_941.54,-0.003562859604743466
10.20_1006.88,0.003549424382646245
10.05_549.49,0.0035174425357280856
1.82_171.0265,-0.0035072896632331926
10.05_916.83,0.0034724701842498164
9.77_972.80,-0.003461811538066697
10.37_977.84,-0.003426807655279277
9.04_963.68,0.0034042175203410773
9.73_915.68,-0.0034014289898874474
10.20_992.86,-0.003399174525710496
11.63_953.79,0.003392992311427798
10.89_829.72,0.003367947548936271
10.06_902.81,0.0033124709803268775
9.58_902.82,0.0033095678240648977
11.88_876.80,0.0033079757958920683
9.43_924.71,-0.0032865764281722735
TG 60:9|TG 20:1_18:2_22:6,-0.0032485096197745885
11.24_605.55,0.0032247529767393
Taurodeoxycholic acid,0.0032179615973750553
9.81_928.74,-0.003183212714207238
9.43_989.84,-0.0031759120958873305
4.63_756.55,0.003164309414871153
7.06_801.68,-0.0031470757429667103
10.85_397.38,0.0031407702213974383
10.41_673.58,-0.0031314228534838067
10.06_930.85,0.0031265299623184106
TG 60:9|TG 18:1_18:2_24:6,-0.0031168680797549475
11.32_876.80,0.0030970522083003655
10.58_954.84,-0.003087743826009281
365015,0.003078533598551719
10.88_386.38,-0.0030634123510958153
10.88_161.13,0.0030442181525420207
5.19_824.54,0.003032812610746728
11.25_926.77,0.003022364470045968
9.96_909.77,-0.0030212186212586474
10.06_860.77,0.003020828033773693
8.90_993.77,0.003018345457663894
9.73_964.83,0.003006975830524915
4.83_790.57,-0.003000806650205207
3-Pyridinemthanol,-0.002995998779408807
7.32_820.66,-0.002977753084668166
TG 53:3|TG 17:0_17:1_19:2,0.002967496647565786
9.32_952.83,-0.0029289763036761834
9.36_960.80,0.002922043990446592
(2R)-3-Hydroxyisovaleroylcarnitine,0.0029070455280346655
0.40_147.03,-0.0029024325964102458
0.38_219.00,-0.0028885086961721908
10.85_978.85,-0.00288797005944233
5.83_852.58,0.0028865180492758198
DG 38:7|DG 18:2_20:5,-0.002882644109030136
9.36_961.81,-0.0028706917313236118
10.26_1001.83,-0.0028207530620740187
10.45_869.70,0.0028056263872097177
6.60_667.53,-0.0027998900830131183
9.348_116.0707,-0.002798514839826681
10.67_927.82,-0.002795970076345288
10.88_1019.96,0.0027934576300293053
10.86_898.74,-0.0027718179490419923
9.13_989.70,0.0027675488925511787
11.24_946.88,0.0027608269262022335
3-Hydroxyvaleric acid,-0.002746371073958931
6.15_728.56,-0.002741795656296962
SM 42:1;2O,0.0027411545506063942
10.36_919.72,-0.002739659641717286
6.40_831.70,0.002738966939419109
9.61_1030.88,0.002679901906273383
10.42_894.84,0.0026625046301490293
9.76_897.77,-0.002652249233081168
5.62_856.61,0.002641696145626605
9.63_965.84,0.002635722381171559
9.89_951.74,-0.0026335898901156166
10.41_671.57,-0.002632793286852424
10.05_854.72,-0.002629465313906517
10.01_834.75,0.0026289439680671966
5.816_285.9966,-0.0026250109220940926
5.02_833.59,0.002611333219646606
10.00_1004.87,-0.002598418544075986
9.98_890.82,0.0025978918908048263
8.232_197.0897,0.0025896283310107198
5.19_807.57,-0.002586921317175542
0.899_98.9545,-0.002553827701110729
9.68_1022.82,-0.0025526136927264977
TG 56:4|TG 18:1_20:1_18:2,-0.0025500138106011286
9.30_913.67,-0.0025472815861573724
10.90_960.89,-0.0025333719696771615
8.544_407.1967,0.00251636554002171
6.23_639.50,-0.0025134266901352077
10.48_259.24,0.0025132196517337617
9.11_947.71,0.0025101565291236207
9.68_1023.82,0.002507091143572799
10.08_934.79,-0.0025056009709478037
Ergothioneine,0.002505347786182964
0.48_498.29,-0.0025003682566771147
8.57_817.61,-0.0024977261331006547
10.00_950.81,0.0024849256842274093
6.15_936.55,0.002484181806199749
11.06_974.91,-0.0024739618317467086
5.40_751.60,0.0024241829532605447
1.196_297.2073,-0.0024189065735773954
11.24_977.78,-0.002417551039645332
9.52_976.74,-0.002412358966976119
9.96_1001.76,-0.002411786553786098
9.43_940.69,0.0024104445619819183
10.85_219.33,-0.002400288067695598
10.67_1007.80,0.0023417551065606666
10.50_916.83,0.0023312501047901683
8.73_996.71,-0.002318557821185435
11.25_988.93,-0.002318204965514586
10.00_1018.88,-0.0023179198550299933
11.60_927.78,0.0023089504678490413
10.84_920.86,0.002301892825676441
10.87_953.83,0.0022961349909050278
PC 34:2;O|PC 16:0_18:2;O_b,0.0022937371262764356
6.58_930.65,-0.0022891468284520745
10.56_577.52,0.0022764333008533973
8.209_155.0453,0.0022671324279730553
9.79_923.78,0.0022586326491830662
4.83_952.59,0.002246038931643276
9.49_965.70,-0.0022400682334365574
10.40_1008.89,0.0022342697490964404
10.88_149.13,0.0022245342198360953
TG 60:13|TG 18:2_20:5_22:6,0.002207689311644681
9.87_928.74,-0.0022053445156328347
7.808_277.0895,-0.0022008587358202463
9.82_966.85,-0.0022005651481821404
12.10_978.98,-0.0022001565159170734
9.99_930.75,-0.0021970833556861206
11.07_912.75,-0.002184810869473146
9.58_888.80,-0.002163591764163575
Decanoyl-L-carnitine,-0.002157438643153915
5.491_199.033,0.0021540529778550223
6.01_770.57,-0.0021434156288456106
1.395_337.039,0.002143068071783468
10.65_668.64,-0.002138624013638726
10.86_690.62,-0.002138007315797912
10.77_978.85,-0.002134045884835428
TG 66:18|TG 22:6_22:6_22:6,0.002130862598701671
5.80_766.57,-0.002130517197820577
10.42_1320.16,0.002129815024843655
TG 54:2|TG 18:0_18:1_18:1,0.0021175056197643024
